City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Half Moon Bay,37.4636,-122.4286,65.44,85,100,19.57,US,1651722807
Guerrero Negro,27.9769,-114.0611,59.72,81,0,13.47,MX,1651722810
Mataura,-46.1927,168.8643,66.47,69,47,2.08,NZ,1651722810
Mahébourg,-20.4081,57.7,78.26,83,40,14.97,MU,1651722811
Yashalta,46.3395,42.2762,55.9,71,100,5.14,RU,1651722811
Vaini,-21.2,-175.2,75.36,94,75,3.44,TO,1651722812
Arraial do Cabo,-22.9661,-42.0278,75.31,88,88,8.01,BR,1651722812
Cape Town,-33.9258,18.4232,57.11,94,100,2.3,ZA,1651722812
Verkhnyaya Toyma,62.2349,44.9985,32.5,61,72,6.44,RU,1651722813
Mitsamiouli,-11.3847,43.2844,75.49,83,20,5.75,KM,1651722813
Faya,18.3851,42.4509,59.52,50,4,3.04,SA,1651722813
Jinzhou,41.1078,121.1417,74.71,36,71,26.71,CN,1651722814
Hokitika,-42.7167,170.9667,61.65,79,63,2.19,NZ,1651722814
Caçador,-26.7753,-51.015,55.26,90,100,5.5,BR,1651722815
Grand Gaube,-20.0064,57.6608,78.39,76,30,7.0,MU,1651722815
Haines Junction,60.7522,-137.5108,46.35,36,95,5.75,CA,1651722815
Tautira,-17.7333,-149.15,81.32,78,44,11.9,PF,1651722816
New Norfolk,-42.7826,147.0587,57.92,65,56,3.0,AU,1651722816
Bredasdorp,-34.5322,20.0403,57.56,90,100,3.22,ZA,1651722782
Bluff,-46.6,168.3333,66.79,75,74,3.51,NZ,1651722817
Ushuaia,-54.8,-68.3,38.86,75,20,3.44,AR,1651722611
Hobart,-42.8794,147.3294,58.26,71,75,12.66,AU,1651722817
Punta Arenas,-53.15,-70.9167,41.11,87,75,17.27,CL,1651722818
Castro,-24.7911,-50.0119,47.77,97,5,3.67,BR,1651722818
Rikitea,-23.1203,-134.9692,77.85,84,73,19.22,PF,1651722818
Andenes,69.3143,16.1194,33.78,69,0,18.41,NO,1651722819
Mandera,3.9366,41.867,78.17,74,16,12.75,KE,1651722819
Saldanha,-33.0117,17.9442,46.45,73,31,3.62,ZA,1651722820
Bathsheba,13.2167,-59.5167,79.41,83,40,13.8,BB,1651722820
Synya,65.3718,58.0387,26.65,60,31,6.78,RU,1651722820
Dikson,73.5069,80.5464,32.02,88,100,16.75,RU,1651722821
Yārāda,17.65,83.2667,89.92,66,20,6.91,IN,1651722821
Barrow,71.2906,-156.7887,16.32,90,32,12.01,US,1651722822
Hermanus,-34.4187,19.2345,54.81,75,54,5.48,ZA,1651722822
Kingston,17.997,-76.7936,81.55,80,20,14.97,JM,1651722678
Salym,60.0625,71.4789,56.64,39,36,13.98,RU,1651722823
Busselton,-33.65,115.3333,64.04,40,0,14.14,AU,1651722823
Shellbrook,53.2168,-106.4011,51.03,74,100,14.9,CA,1651722823
Naze,28.3667,129.4833,68.92,90,100,13.89,JP,1651722824
Sainte-Anne-des-Monts,49.124,-66.4924,42.67,75,84,20.71,CA,1651722824
San Cristobal,7.7669,-72.225,75.38,81,100,1.97,VE,1651722825
Bedēsa,8.9,40.7833,62.65,77,59,2.73,ET,1651722825
Harper,4.375,-7.7169,80.1,85,81,2.13,LR,1651722628
Lebu,-37.6167,-73.65,53.83,96,55,8.81,CL,1651722825
Qui Nhon,13.7667,109.2333,81.81,77,90,14.09,VN,1651722680
Pisco,-13.7,-76.2167,64.45,82,0,9.22,PE,1651722826
Port Elizabeth,-33.918,25.5701,59.29,100,20,3.44,ZA,1651722826
Sarwār,26.0667,75.0,93.09,23,0,8.95,IN,1651722827
Sioux Lookout,50.1001,-91.917,39.27,65,20,0.0,CA,1651722827
Upernavik,72.7868,-56.1549,1.24,93,12,5.93,GL,1651722828
Newport,51.5877,-2.9984,50.83,87,32,2.66,GB,1651722795
Saint George,37.1041,-113.5841,70.39,26,0,19.57,US,1651722661
Olinda,-8.0089,-34.8553,82.13,78,40,11.5,BR,1651722828
Guérande,47.3291,-2.4283,47.62,83,73,5.28,FR,1651722550
Yucca Valley,34.1142,-116.4322,74.39,17,0,1.99,US,1651722813
Panshi,42.9422,126.0561,76.64,29,100,26.64,CN,1651722829
Atuona,-9.8,-139.0333,79.16,74,20,13.87,PF,1651722829
Pevek,69.7008,170.3133,26.1,81,100,6.4,RU,1651722830
Bonfim,3.0833,-59.95,76.17,79,100,2.3,BR,1651722830
Winnemucca,40.973,-117.7357,64.45,29,0,0.0,US,1651722830
Esperance,-33.8667,121.9,62.44,56,86,14.56,AU,1651722831
Yellowknife,62.456,-114.3525,37.92,93,40,9.22,CA,1651722778
Piaçabuçu,-10.4056,-36.4344,77.18,87,36,8.12,BR,1651722831
Saint Paul Harbor,57.79,-152.4072,39.78,93,100,8.03,US,1651722832
Poum,-20.2333,164.0167,78.85,77,7,8.28,NC,1651722832
Alpena,45.0617,-83.4327,39.52,91,0,0.0,US,1651722832
Kapaa,22.0752,-159.319,80.58,90,17,4.0,US,1651722833
Flinders,-34.5833,150.8552,73.18,70,23,4.0,AU,1651722833
Bukachacha,52.9833,116.9167,44.42,20,100,11.9,RU,1651722834
Saskylakh,71.9167,114.0833,29.48,88,86,7.58,RU,1651722834
Northam,51.0333,-4.2167,50.61,97,22,4.03,GB,1651722834
Talnakh,69.4865,88.3972,34.21,100,100,11.95,RU,1651722835
Necochea,-38.5473,-58.7368,54.5,68,91,11.68,AR,1651722835
Inhambane,-23.865,35.3833,67.98,94,20,3.44,MZ,1651722836
Yangi Marg`ilon,40.4272,71.7189,70.52,52,62,9.22,UZ,1651722836
Qaqortoq,60.7167,-46.0333,31.51,78,100,6.53,GL,1651722837
Beira,-19.8436,34.8389,68.09,100,20,5.75,MZ,1651722837
Arlit,18.7369,7.3853,85.46,8,26,10.67,NE,1651722837
Torbay,47.6666,-52.7314,41.58,88,100,16.11,CA,1651722838
Aloleng,16.1307,119.7824,85.8,65,75,6.85,PH,1651722597
Portland,45.5234,-122.6762,69.78,58,0,5.75,US,1651722626
Smithers,54.7804,-127.1743,46.72,61,100,4.61,CA,1651722839
Fiumicino,41.7675,12.2291,59.0,90,94,4.61,IT,1651722839
Prince George,53.9166,-122.753,47.64,90,100,2.3,CA,1651722655
Manakara,-22.1333,48.0167,69.64,83,77,4.29,MG,1651722839
Yatou,37.15,122.3833,66.85,51,33,17.83,CN,1651722840
Saint-Augustin,51.226,-58.6502,35.94,96,100,10.83,CA,1651722840
Ponta do Sol,32.6667,-17.1,63.23,69,22,5.93,PT,1651722841
Constitución,-35.3333,-72.4167,55.24,79,94,3.0,CL,1651722841
Mar del Plata,-38.0023,-57.5575,54.95,72,0,13.8,AR,1651722842
Kushmurun,52.4503,64.6311,58.21,41,71,4.25,KZ,1651722842
Ugoofaaru,5.6667,73.0,85.05,73,100,14.5,MV,1651722843
La Reforma,25.0833,-108.05,68.95,80,0,5.68,MX,1651722843
Ribeira Grande,38.5167,-28.7,62.53,86,100,18.99,PT,1651722843
Buenos Aires,-34.6132,-58.3772,58.73,85,0,4.61,AR,1651722796
Tuktoyaktuk,69.4541,-133.0374,24.8,93,100,16.11,CA,1651722844
Jamestown,42.097,-79.2353,49.64,92,100,4.61,US,1651722844
Port Lincoln,-34.7333,135.8667,57.09,55,91,19.19,AU,1651722845
Hithadhoo,-0.6,73.0833,83.5,73,100,18.14,MV,1651722845
Hasaki,35.7333,140.8333,81.28,69,100,16.28,JP,1651722845
Kirakira,-10.4544,161.9205,82.44,78,35,3.78,SB,1651722846
Iwanai,42.9744,140.5089,67.78,51,57,5.61,JP,1651722846
Cervo,43.6702,-7.4101,55.96,90,47,7.85,ES,1651722847
Petropavlovsk-Kamchatskiy,53.0452,158.6483,45.19,57,20,11.18,RU,1651722847
Mattru,7.6244,-11.8332,77.2,93,91,1.61,SL,1651722848
Tomatlán,19.9333,-105.25,69.33,91,96,1.34,MX,1651722848
Thompson,55.7435,-97.8558,30.36,69,100,4.61,CA,1651722671
